"anio","mes","clae2_desc","clae2","porc_medio","mes_cuali"
2007,1,"Transporte aéreo",51,41.01,"Enero"
2007,1,"Transporte marítimo y pluvial",50,16.53,"Enero"
2007,1,"Transporte terrestre y por tuberías",49,5.34,"Enero"
2007,1,"Venta, mantenimiento y reparación de vehículos automotores y motocicletas",45,14.21,"Enero"
2007,2,"Actividades administrativas de oficinas y empresas",82,41.57,"Febrero"
2007,2,"Actividades de apoyo a la minería",9,5.57,"Febrero"
2007,2,"Actividades de construcción especializada",43,5.2,"Febrero"
2007,2,"Actividades de investigación y seguridad",80,9.22,"Febrero"
2007,2,"Actividades de organismos extraterritoriales",99,53.49,"Febrero"
2007,2,"Actividades de procesamiento de información",63,38.34,"Febrero"
2007,2,"Actividades deportivas, recreativas y de entretenimiento",93,31.03,"Febrero"
2007,2,"Administración pública, defensa y seguridad social",84,42.33,"Febrero"
2007,2,"Agencias de viajes, servicios de reservas y actividades conexas",79,52.53,"Febrero"
2007,2,"Agricultura, ganadería, caza y servicios relacionados",1,11.68,"Febrero"
2007,2,"Almacenamiento y logística",52,15.98,"Febrero"
2007,2,"Alquiler y leasing",77,18.31,"Febrero"
2007,2,"Captación, depuración y distribución de agua",36,18.68,"Febrero"
2007,2,"Comercio al por mayor excepto autos y motos",46,24.51,"Febrero"
2007,2,"Comercio al por menor excepto autos y motos",47,41.89,"Febrero"
2007,2,"Construcción de edificios y partes",41,2.96,"Febrero"
2007,2,"Descontaminación y otros servicios",39,15.8,"Febrero"
2007,2,"Edición",58,37.35,"Febrero"
2007,2,"Elaboración de bebidas",11,14.42,"Febrero"
2007,2,"Elaboración de prendas de vestir",14,60.42,"Febrero"
2007,2,"Elaboración de productos alimenticios",10,20.81,"Febrero"
2007,2,"Elaboración de productos de cuero",15,21.8,"Febrero"
2007,2,"Elaboración de productos de madera",16,6.99,"Febrero"
2007,2,"Elaboración de productos de papel",17,13.41,"Febrero"
2007,2,"Elaboración de productos de tabaco",12,19.52,"Febrero"
2007,2,"Elaboracion de productos farmaceuticos",21,35.55,"Febrero"
2007,2,"Elaboración de productos textiles",13,23.86,"Febrero"
2007,2,"Enseñanza",85,74.11,"Febrero"
2007,2,"Extracción de carbon y lignito",5,3.08,"Febrero"
2007,2,"Extracción de minerales metálicos",7,7.76,"Febrero"
2007,2,"Extracción de petroleo crudo y gas natural",6,16.91,"Febrero"
2007,2,"Fabricación de aparatos de uso doméstico",27,12.34,"Febrero"
2007,2,"Fabricación de equipo de transporte",30,6.05,"Febrero"
2007,2,"Fabricación de equipos automotores",29,9.19,"Febrero"
2007,2,"Fabricación de equipos electrónicos",26,25.43,"Febrero"
2007,2,"Fabricación de maquinaria",28,8.25,"Febrero"
2007,2,"Fabricación de muebles y colchones",31,12.76,"Febrero"
2007,2,"Fabricación de productos de caucho y plástico",22,13.16,"Febrero"
2007,2,"Fabricación de productos de hornos de coque",19,19.63,"Febrero"
2007,2,"Fabricación de productos de vidrio y minerales no metálicos",23,6.94,"Febrero"
2007,2,"Fabricación de productos metálicos",25,8.31,"Febrero"
