"anio","clae2_desc","clae2","porc_medio"
2008,"Elaboración de productos de papel",17,13.44
2008,"Elaboración de productos de tabaco",12,17.68
2008,"Elaboracion de productos farmaceuticos",21,36
2008,"Elaboración de productos textiles",13,24.22
2008,"Enseñanza",85,74.06
2008,"Extracción de carbon y lignito",5,4.32
2008,"Extracción de minerales metálicos",7,8.67
2008,"Extracción de petroleo crudo y gas natural",6,17.04
2008,"Fabricación de aparatos de uso doméstico",27,12.87
2008,"Fabricación de equipo de transporte",30,7.83
2008,"Fabricación de equipos automotores",29,9.24
2008,"Fabricación de equipos electrónicos",26,24.86
2008,"Fabricación de maquinaria",28,8.67
2008,"Fabricación de muebles y colchones",31,12.08
2008,"Fabricación de productos de caucho y plástico",22,13.27
2008,"Fabricación de productos de hornos de coque",19,20.23
2008,"Fabricación de productos de vidrio y minerales no metálicos",23,7
2008,"Fabricación de productos metálicos",25,8.17
2008,"Fabricación de sustancias químicas",20,23.19
2008,"Imprentas y editoriales",18,20.44
2008,"Industrias básicas de hierro y acero",24,6.19
2008,"Industrias manufactureras diversas",32,22.25
2008,"Ingeniería civil",42,5.58
2008,"Investigación y desarrollo científico",72,58.32
2008,"Juegos de azar, apuestas",92,48.46
2008,"Otras actividades profesionales, científicas y técnicas",74,36.61
2008,"Otras industrias extractivas",8,7.09
2008,"Otros servicios personales",96,45.12
2008,"Pesca y acuicultura",3,13.44
2008,"Programación y radiodifusión",60,26.88
2008,"Recolección, transporte, tratamiento y disposición final de residuos",38,4.64
2008,"Reparación de computadoras y equipos de uso doméstico",95,17.38
2008,"Reparacion de maquinaria y equipo",33,8.25
2008,"Servicio de correo y mensajería",53,13.82
2008,"Servicios a edificios y actividades de jardinería",81,49.62
2008,"Servicios artísticos y de espectáculos",90,33.56
2008,"Servicios audiovisuales",59,41.61
2008,"Servicios auxiliares de la actividad financiera y de seguros",66,50.15
2008,"Servicios de alojamiento",55,53.63
2008,"Servicios de arquitectura e ingeniería",71,15.06
2008,"Servicios de asociaciones",94,48.43
2008,"Servicios de bibliotecas, archivos y museos y  servicios culturales n.c.p.",91,57.36
2008,"Servicios de depuración de agua residual, alcantarillado y cloacas",37,12.11
2008,"Servicios de expendio de alimentos y bebidas",56,39.03
2008,"Servicios de obtención y dotación de personal",78,26.47
2008,"Servicios de programación, consultoría informática y actividades conexas",62,31.49
2008,"Servicios de publicidad e investigación de mercado",73,48.46
2008,"Servicios de salud humana",86,71.51
2008,"Servicios de seguros, reaseguros y pensiones",65,51.81
2008,"Servicios financieros (excepto seguros y pensiones)",64,46.2
2008,"Servicios inmobiliarios",68,33.66
2008,"Servicios jurídicos y de contabilidad",69,67.38
2008,"Servicios sin alojamiento",88,75.1
2008,"Servicios sociales con alojamiento",87,86.99
2008,"Servicios veterinarios",75,45.79
2008,"Servicios y asesoramiento de dirección y gestión empresarial",70,35.6
2008,"Silvicultura y explotación forestal",2,5.15
2008,"Sin clasificar",999999,25.67
2008,"Suministro de electricidad, gas, vapor y aire acondicionado",35,16.35
2008,"Telecomunicaciones",61,36.93
2008,"Transporte aéreo",51,40.59
2008,"Transporte marítimo y pluvial",50,17.11
2008,"Transporte terrestre y por tuberías",49,5.41
2008,"Venta, mantenimiento y reparación de vehículos automotores y motocicletas",45,14.92
2009,"Actividades administrativas de oficinas y empresas",82,44.82
2009,"Actividades de apoyo a la minería",9,5.79
2009,"Actividades de construcción especializada",43,5.82
2009,"Actividades de investigación y seguridad",80,9.61
2009,"Actividades de organismos extraterritoriales",99,54.77
2009,"Actividades de procesamiento de información",63,41.04
2009,"Actividades deportivas, recreativas y de entretenimiento",93,31.06
2009,"Administración pública, defensa y seguridad social",84,44.68
2009,"Agencias de viajes, servicios de reservas y actividades conexas",79,53.31
2009,"Agricultura, ganadería, caza y servicios relacionados",1,11.39
2009,"Almacenamiento y logística",52,16.09
2009,"Alquiler y leasing",77,17.5
2009,"Captación, depuración y distribución de agua",36,19.06
2009,"Comercio al por mayor excepto autos y motos",46,24.75
2009,"Comercio al por menor excepto autos y motos",47,43.59
2009,"Construcción de edificios y partes",41,3.76
2009,"Descontaminación y otros servicios",39,11.74
2009,"Edición",58,38.04
2009,"Elaboración de bebidas",11,14.73
2009,"Elaboración de prendas de vestir",14,59.32
2009,"Elaboración de productos alimenticios",10,19.67
2009,"Elaboración de productos de cuero",15,25.63
2009,"Elaboración de productos de madera",16,7.52
2009,"Elaboración de productos de papel",17,13.39
2009,"Elaboración de productos de tabaco",12,17.04
2009,"Elaboracion de productos farmaceuticos",21,35.96
2009,"Elaboración de productos textiles",13,24.23
2009,"Enseñanza",85,73.92
2009,"Extracción de carbon y lignito",5,8.76
2009,"Extracción de minerales metálicos",7,8.24
2009,"Extracción de petroleo crudo y gas natural",6,17.22
2009,"Fabricación de aparatos de uso doméstico",27,12.92
2009,"Fabricación de equipo de transporte",30,8.06
2009,"Fabricación de equipos automotores",29,9.55
2009,"Fabricación de equipos electrónicos",26,25.22
2009,"Fabricación de maquinaria",28,9.04
2009,"Fabricación de muebles y colchones",31,12.53
2009,"Fabricación de productos de caucho y plástico",22,13.41
2009,"Fabricación de productos de hornos de coque",19,20.59
2009,"Fabricación de productos de vidrio y minerales no metálicos",23,7.2
2009,"Fabricación de productos metálicos",25,8.36
2009,"Fabricación de sustancias químicas",20,23.38
2009,"Imprentas y editoriales",18,20.76
2009,"Industrias básicas de hierro y acero",24,6.42
2009,"Industrias manufactureras diversas",32,22.31
2009,"Ingeniería civil",42,5.89
2009,"Investigación y desarrollo científico",72,59.02
2009,"Juegos de azar, apuestas",92,48.37
2009,"Otras actividades profesionales, científicas y técnicas",74,37.3
2009,"Otras industrias extractivas",8,7.28
2009,"Otros servicios personales",96,46.23
2009,"Pesca y acuicultura",3,14.02
2009,"Programación y radiodifusión",60,26.39
